-0.005791, -0.005791, 500000000.000104, 500000000.000111, 499999999.999987
-0.005674, -0.005791, 541687884.030043, 533182780.080709, 540122991.026082
-0.005557, -0.005791, 768093118.388035, 601003182.405375, 619267618.550659
-0.005441, -0.005791, 768093118.388031, 601003182.405125, 619267618.550501
-0.005324, -0.005791, 768093118.388026, 601003182.405968, 619267618.550548
-0.005207, -0.005791, 768093118.388021, 601003182.405917, 619267618.550658
-0.005089, -0.005791, 768093118.388037, 601003182.405102, 619267618.550546
-0.004972, -0.005791, 768093118.388027, 601003182.404914, 619267618.550488
-0.004855, -0.005791, 768093118.388069, 601003182.405025, 619267618.550495
-0.004738, -0.005791, 768093118.388044, 601003182.404468, 619267618.550529
-0.004621, -0.005791, 563248276.009733, 536277566.235707, 543739152.538236
-0.004504, -0.005791, 500000000.000104, 500000000.000098, 499999999.999987
-0.004387, -0.005791, 503592356.115262, 501929463.005072, 504327581.100364
-0.004270, -0.005791, 500000000.000096, 500000000.000111, 499999999.999988
-0.004154, -0.005791, 500000000.000101, 500000000.000097, 499999999.999987
-0.004036, -0.005791, 500000000.000104, 500000000.000101, 499999999.999988
-0.003920, -0.005791, 500000000.000098, 500000000.000094, 499999999.999926
-0.003803, -0.005791, 500000000.000097, 499999999.999744, 499999999.999988
-0.003686, -0.005791, 523431762.166336, 511961725.102597, 518214349.097172
-0.003569, -0.005791, 601789656.941934, 524683165.966844, 536696873.207371
-0.003452, -0.005791, 500000000.000095, 500000000.000101, 499999999.999988
-0.003335, -0.005791, 500000000.000107, 500000000.000109, 499999999.999987
-0.003218, -0.005791, 503551389.181934, 501937554.988756, 504327104.976963
-0.003101, -0.005791, 500000000.000102, 500000000.000099, 499999999.999987
-0.002984, -0.005791, 500000000.000099, 500000000.000112, 499999999.999987
-0.002867, -0.005791, 500000000.000102, 499999999.999747, 499999999.999987
-0.002750, -0.005791, 500000000.000101, 500000000.000113, 499999999.999987
-0.002633, -0.005791, 500000000.000100, 500000000.000110, 499999999.999987
-0.002516, -0.005791, 500000000.000100, 500000000.000109, 499999999.999988
-0.002399, -0.005791, 503581617.453144, 501931523.293010, 504329150.001917
-0.002282, -0.005791, 500000000.000099, 500000000.000101, 499999999.999987
-0.002165, -0.005791, 500000000.000100, 500000000.000110, 499999999.999987
-0.002048, -0.005791, 502827283.455174, 501863214.813319, 504179494.147090
-0.001931, -0.005791, 500000000.000096, 500000000.000110, 499999999.999987
-0.001814, -0.005791, 500000000.000103, 500000000.000110, 499999999.999988
-0.001697, -0.005791, 500000000.000102, 500000000.000098, 499999999.999987
-0.001580, -0.005791, 500000000.000093, 500000000.000107, 499999999.999987
-0.001463, -0.005791, 500000000.000096, 500000000.000091, 499999999.999987
-0.001345, -0.005791, 499999999.999745, 500000000.000101, 499999999.999987
